Distribucion Supermercado - Demanda total: 903221
Varianza demanda por seccion: 16617218
Promedio demanda por seccion: 3542
Mayor demanda en una seccion: 50895
Menor demanda en una seccion: 2941

Pasillo 1 - Demanda del pasillo: 209734

   P1 - Seccion 1 - Demanda de la seccion: 3046

       Producto | Demanda
       147      | 1779
       569      | 121
       668      | 99
       1813     | 95
       2415     | 81
       2597     | 70
       3079     | 68
       4693     | 59
       10902    | 58
       5873     | 49
       13258    | 46
       6783     | 43
       3195     | 38
       2491     | 38
       10449    | 31
       4951     | 30
       3922     | 29
       3729     | 27
       3794     | 25
       4375     | 21
       1541     | 20
       2274     | 19
       6533     | 17
       10747    | 16
       1087     | 16
       10601    | 13
       950      | 13
       160      | 12
       9135     | 11
       8331     | 10
       16015    | 10
       15740    | 9
       10418    | 8
       8883     | 8
       7269     | 7
       15293    | 6
       13644    | 5
       7136     | 5
       5508     | 5
       14358    | 5
       5796     | 4
       11735    | 3
       9490     | 3
       12667    | 3
       14778    | 3
       9368     | 3
       14633    | 3
       6681     | 3
       13229    | 3
       13370    | 3

   P1 - Seccion 8 - Demanda de la seccion: 3047

       Producto | Demanda
       286      | 1183
       1060     | 210
       3271     | 173
       5948     | 138
       1909     | 122
       4363     | 104
       233      | 95
       3218     | 85
       1111     | 80
       8004     | 70
       453      | 64
       4453     | 60
       3782     | 57
       3246     | 55
       15012    | 44
       5784     | 42
       5809     | 39
       1189     | 39
       8654     | 32
       11695    | 29
       1566     | 26
       7288     | 26
       951      | 24
       7382     | 22
       3164     | 20
       9786     | 19
       11614    | 17
       6413     | 16
       13194    | 14
       2826     | 14
       8412     | 12
       7414     | 11
       13520    | 11
       7076     | 10
       9248     | 9
       2298     | 8
       14393    | 8
       11582    | 7
       7275     | 7
       6844     | 6
       14999    | 5
       5804     | 5
       5561     | 5
       5960     | 4
       12405    | 4
       11568    | 4
       7914     | 3
       11876    | 3
       13640    | 3
       11275    | 3

   P1 - Seccion 9 - Demanda de la seccion: 3047

       Producto | Demanda
       1004     | 1102
       2350     | 244
       973      | 189
       2741     | 146
       4305     | 132
       409      | 110
       11058    | 96
       5172     | 91
       5356     | 77
       1382     | 73
       2077     | 68
       5378     | 60
       6591     | 55
       6270     | 51
       2681     | 45
       11636    | 44
       8137     | 39
       12638    | 37
       3108     | 31
       4988     | 30
       11588    | 28
       7431     | 27
       1699     | 23
       7081     | 21
       13080    | 21
       5077     | 19
       5383     | 17
       10172    | 16
       4368     | 14
       12488    | 14
       2579     | 12
       9991     | 11
       1149     | 11
       6873     | 10
       8364     | 9
       8255     | 8
       5415     | 8
       11343    | 7
       8275     | 6
       6524     | 6
       10826    | 6
       5935     | 5
       16144    | 5
       10330    | 4
       2414     | 4
       11860    | 3
       8917     | 3
       11150    | 3
       8565     | 3
       14353    | 3

   P1 - Seccion 10 - Demanda de la seccion: 3046

       Producto | Demanda
       45       | 911
       1183     | 265
       3638     | 201
       974      | 160
       826      | 144
       1107     | 131
       1488     | 111
       771      | 98
       7107     | 88
       2032     | 81
       10119    | 76
       245      | 65
       4684     | 59
       11246    | 57
       11557    | 50
       5072     | 46
       10699    | 43
       5262     | 38
       5606     | 35
       13059    | 34
       7644     | 29
       12164    | 29
       10980    | 25
       11140    | 23
       7006     | 22
       11027    | 19
       2401     | 19
       11649    | 18
       8582     | 15
       14313    | 15
       10532    | 13
       10020    | 12
       11158    | 11
       14042    | 11
       15254    | 10
       9133     | 9
       9374     | 8
       15530    | 8
       11850    | 8
       8026     | 6
       12476    | 6
       15857    | 6
       12573    | 5
       7397     | 5
       7165     | 4
       8424     | 4
       11771    | 4
       13873    | 3
       8851     | 3
       7980     | 3

   P1 - Seccion 11 - Demanda de la seccion: 3042

       Producto | Demanda
       1144     | 599
       1529     | 322
       925      | 253
       141      | 211
       1354     | 167
       1579     | 139
       2892     | 126
       687      | 108
       4739     | 92
       7050     | 87
       1061     | 84
       3509     | 75
       864      | 66
       1728     | 60
       7978     | 54
       5049     | 51
       14107    | 46
       3075     | 44
       1731     | 38
       7794     | 35
       5245     | 33
       2349     | 30
       14493    | 26
       7109     | 26
       9419     | 25
       13738    | 23
       12965    | 20
       7034     | 18
       13156    | 17
       9382     | 17
       14158    | 14
       6018     | 13
       8305     | 13
       11044    | 11
       8174     | 11
       13540    | 10
       10521    | 10
       10452    | 8
       13861    | 8
       12117    | 7
       461      | 6
       7643     | 6
       11241    | 6
       11886    | 5
       6180     | 4
       13274    | 4
       473      | 4
       11678    | 4
       12431    | 3
       11287    | 3

   P1 - Seccion 12 - Demanda de la seccion: 3041

       Producto | Demanda
       155      | 546
       13334    | 330
       1629     | 264
       739      | 213
       2669     | 185
       2154     | 149
       10546    | 131
       4412     | 115
       1265     | 97
       4285     | 91
       6338     | 79
       3690     | 75
       6680     | 66
       5273     | 60
       3269     | 56
       1284     | 52
       7128     | 45
       7559     | 40
       5476     | 39
       12616    | 33
       2252     | 33
       2385     | 30
       1687     | 25
       4704     | 25
       2089     | 24
       4928     | 20
       12383    | 20
       10746    | 19
       2978     | 16
       14213    | 16
       6896     | 14
       16218    | 13
       6421     | 12
       11954    | 11
       12590    | 10
       972      | 10
       10754    | 9
       16251    | 8
       6957     | 8
       9435     | 7
       8144     | 6
       4647     | 6
       11069    | 6
       9970     | 5
       3656     | 4
       11988    | 4
       13426    | 4
       11877    | 4
       1289     | 3
       12422    | 3

   P1 - Seccion 13 - Demanda de la seccion: 3041

       Producto | Demanda
       16430    | 426
       1361     | 400
       615      | 274
       2225     | 257
       2519     | 186
       12508    | 138
       516      | 129
       4661     | 108
       508      | 97
       3052     | 93
       1114     | 79
       2022     | 70
       5156     | 67
       3367     | 62
       11836    | 55
       2428     | 51
       4561     | 48
       3466     | 42
       7124     | 40
       10824    | 37
       11301    | 31
       1306     | 29
       6941     | 29
       2904     | 25
       13275    | 25
       13588    | 21
       3624     | 19
       2200     | 19
       14680    | 18
       11550    | 17
       15083    | 15
       9191     | 13
       6428     | 12
       6416     | 11
       8208     | 11
       1563     | 10
       11008    | 9
       7566     | 8
       6362     | 7
       154      | 7
       12978    | 7
       5188     | 6
       12400    | 6
       12993    | 5
       7426     | 4
       7089     | 4
       3905     | 4
       8961     | 4
       8535     | 3
       12266    | 3

   P1 - Seccion 14 - Demanda de la seccion: 3044

       Producto | Demanda
       2199     | 597
       13032    | 324
       414      | 263
       44       | 196
       364      | 174
       288      | 147
       11397    | 126
       6748     | 102
       2952     | 94
       3531     | 87
       3119     | 77
       10642    | 70
       10422    | 67
       1851     | 60
       6637     | 56
       3746     | 49
       1213     | 47
       6755     | 42
       12906    | 38
       5903     | 37
       1041     | 32
       7240     | 29
       11229    | 28
       4188     | 26
       10930    | 25
       13583    | 23
       7569     | 21
       15316    | 19
       12189    | 18
       16189    | 17
       5861     | 15
       5587     | 14
       13759    | 12
       7224     | 12
       5290     | 11
       4713     | 10
       2221     | 9
       6894     | 9
       8720     | 8
       11843    | 7
       12575    | 7
       7015     | 6
       15425    | 6
       14979    | 5
       12274    | 5
       7446     | 4
       12741    | 4
       13298    | 3
       8524     | 3
       13957    | 3

   P1 - Seccion 15 - Demanda de la seccion: 3044

       Producto | Demanda
       846      | 595
       4524     | 324
       1163     | 256
       3276     | 198
       2876     | 170
       1105     | 141
       11129    | 126
       2817     | 112
       505      | 97
       2525     | 86
       702      | 83
       3418     | 71
       1464     | 67
       3651     | 60
       439      | 54
       3994     | 52
       3124     | 45
       6953     | 44
       5949     | 39
       5646     | 35
       6446     | 33
       11383    | 32
       7996     | 28
       4508     | 27
       7964     | 23
       4281     | 21
       1044     | 21
       9777     | 20
       3974     | 17
       9546     | 16
       13072    | 15
       7903     | 13
       7435     | 13
       4609     | 12
       7553     | 10
       14666    | 10
       9024     | 9
       9670     | 9
       2668     | 8
       8665     | 7
       10253    | 6
       3386     | 6
       12837    | 5
       10344    | 5
       6596     | 5
       14489    | 4
       7142     | 4
       13224    | 4
       12546    | 3
       9200     | 3

   P1 - Seccion 16 - Demanda de la seccion: 3041

       Producto | Demanda
       4883     | 521
       653      | 339
       344      | 262
       880      | 222
       2240     | 193
       3034     | 145
       317      | 127
       4392     | 113
       1022     | 99
       2426     | 85
       4830     | 84
       3000     | 71
       4229     | 67
       295      | 58
       5967     | 57
       3489     | 49
       10637    | 48
       4106     | 43
       2404     | 39
       15017    | 36
       8506     | 32
       3350     | 30
       2028     | 28
       9693     | 26
       6584     | 23
       72       | 22
       3536     | 20
       3129     | 19
       6856     | 17
       7774     | 16
       1501     | 15
       7075     | 13
       8373     | 12
       10154    | 11
       7487     | 11
       5891     | 10
       11046    | 9
       11151    | 8
       10715    | 8
       12443    | 8
       13539    | 6
       8483     | 6
       9881     | 5
       6657     | 5
       9116     | 5
       15850    | 4
       8172     | 4
       3718     | 4
       10046    | 3
       11239    | 3

   P1 - Seccion 17 - Demanda de la seccion: 3046

       Producto | Demanda
       18       | 860
       987      | 255
       337      | 224
       3312     | 178
       1870     | 150
       2715     | 136
       499      | 118
       7540     | 100
       1075     | 89
       3371     | 79
       756      | 74
       2869     | 64
       466      | 62
       2756     | 54
       1302     | 50
       2105     | 48
       5997     | 44
       2457     | 37
       4300     | 36
       13998    | 31
       3169     | 31
       8774     | 28
       3523     | 25
       9766     | 23
       8915     | 23
       181      | 20
       1954     | 19
       4158     | 17
       4033     | 16
       13234    | 15
       8027     | 14
       11481    | 12
       9578     | 12
       4370     | 10
       5955     | 10
       9473     | 9
       11364    | 9
       5739     | 8
       8901     | 7
       8090     | 7
       10882    | 6
       20       | 5
       14670    | 5
       11001    | 5
       7394     | 4
       8096     | 4
       6415     | 4
       11859    | 3
       8987     | 3
       11918    | 3

Pasillo 2 - Demanda del pasillo: 62636

   P2 - Seccion 1 - Demanda de la seccion: 3042

       Producto | Demanda
       3799     | 421
       14099    | 409
       2464     | 293
       560      | 227
       2129     | 173
       2760     | 149
       4920     | 133
       4124     | 105
       1530     | 101
       6276     | 89
       5086     | 81
       12983    | 76
       2362     | 63
       190      | 60
       2934     | 56
       8592     | 52
       10409    | 49
       2971     | 42
       11607    | 40
       5994     | 36
       14545    | 33
       7031     | 30
       4500     | 28
       1279     | 25
       1176     | 24
       735      | 21
       4481     | 21
       10716    | 20
       9815     | 17
       8869     | 16
       11519    | 15
       8809     | 14
       1583     | 12
       14876    | 12
       14121    | 10
       1712     | 10
       8384     | 9
       11132    | 9
       13516    | 8
       6912     | 7
       8699     | 6
       15233    | 6
       6226     | 6
       7940     | 5
       9154     | 5
       11196    | 4
       13703    | 4
       14281    | 4
       4603     | 3
       10964    | 3

   P2 - Seccion 2 - Demanda de la seccion: 3046

       Producto | Demanda
       956      | 911
       1318     | 249
       3504     | 195
       1568     | 165
       4032     | 148
       5712     | 135
       3368     | 117
       9150     | 102
       4493     | 85
       4982     | 80
       2360     | 73
       2412     | 68
       5246     | 57
       3520     | 56
       9260     | 54
       6028     | 45
       10901    | 44
       4260     | 38
       5836     | 35
       5718     | 34
       2779     | 29
       7516     | 27
       10624    | 25
       12887    | 24
       8597     | 23
       6009     | 20
       12285    | 19
       15297    | 17
       9397     | 17
       3597     | 15
       6395     | 13
       4746     | 13
       5250     | 11
       7677     | 11
       3927     | 10
       4454     | 9
       8511     | 8
       12525    | 8
       5634     | 7
       9493     | 6
       11995    | 6
       7380     | 6
       13456    | 5
       6056     | 5
       9612     | 4
       10569    | 4
       9533     | 4
       10328    | 3
       7776     | 3
       13247    | 3

   P2 - Seccion 3 - Demanda de la seccion: 3042

       Producto | Demanda
       1417     | 536
       984      | 334
       757      | 260
       2554     | 210
       698      | 185
       2363     | 138
       3662     | 136
       332      | 116
       4833     | 98
       2475     | 95
       3260     | 80
       4382     | 72
       5304     | 64
       6410     | 60
       4069     | 54
       2943     | 51
       5675     | 46
       6940     | 44
       9620     | 38
       5112     | 38
       3424     | 32
       6961     | 29
       5600     | 29
       7447     | 25
       6324     | 25
       1949     | 22
       10103    | 19
       11759    | 19
       13897    | 18
       7645     | 16
       2114     | 15
       8006     | 13
       15240    | 13
       10473    | 11
       7898     | 11
       9321     | 10
       2941     | 10
       15411    | 9
       15524    | 8
       15686    | 7
       11438    | 7
       15299    | 6
       5157     | 6
       2462     | 5
       13659    | 5
       14796    | 4
       8498     | 4
       11726    | 3
       13941    | 3
       10843    | 3

   P2 - Seccion 4 - Demanda de la seccion: 3042

       Producto | Demanda
       789      | 648
       1655     | 311
       1332     | 243
       1592     | 194
       1981     | 166
       922      | 141
       3035     | 126
       3806     | 107
       2540     | 92
       4165     | 86
       6354     | 80
       5325     | 71
       5857     | 63
       5161     | 61
       1086     | 53
       4925     | 49
       13734    | 45
       2451     | 41
       5213     | 40
       1836     | 36
       3522     | 34
       2794     | 29
       5128     | 28
       4534     | 26
       14665    | 24
       3461     | 22
       568      | 20
       8093     | 19
       2558     | 17
       6149     | 17
       5695     | 15
       2020     | 14
       13521    | 12
       9110     | 12
       9559     | 11
       6850     | 10
       14588    | 9
       6101     | 8
       13127    | 8
       16047    | 7
       10954    | 7
       8222     | 7
       8446     | 6
       9774     | 5
       3492     | 5
       7286     | 4
       3183     | 4
       11556    | 3
       12358    | 3
       2197     | 3

   P2 - Seccion 5 - Demanda de la seccion: 3041

       Producto | Demanda
       30       | 540
       1185     | 332
       347      | 264
       1233     | 210
       4386     | 186
       266      | 139
       10526    | 135
       875      | 113
       3083     | 98
       890      | 88
       3493     | 82
       6583     | 72
       10476    | 68
       11203    | 60
       8512     | 56
       1860     | 51
       3871     | 45
       15614    | 44
       8075     | 39
       1359     | 36
       4421     | 33
       5751     | 29
       5195     | 27
       5511     | 26
       162      | 23
       15261    | 23
       2646     | 20
       2303     | 19
       5227     | 17
       6727     | 16
       8346     | 14
       8875     | 13
       8943     | 12
       15239    | 12
       14094    | 10
       12487    | 10
       8602     | 9
       13018    | 9
       8625     | 8
       2584     | 7
       11827    | 6
       9914     | 6
       7593     | 6
       14794    | 5
       13585    | 4
       3901     | 4
       4902     | 4
       10590    | 4
       9114     | 4
       5509     | 3

   P2 - Seccion 6 - Demanda de la seccion: 3039

       Producto | Demanda
       398      | 515
       10442    | 340
       1026     | 256
       4170     | 236
       1215     | 174
       1227     | 154
       5160     | 134
       10542    | 107
       163      | 104
       1470     | 86
       1852     | 84
       1803     | 69
       5256     | 66
       2644     | 59
       4581     | 57
       6273     | 54
       13047    | 44
       2542     | 43
       1759     | 38
       7873     | 35
       12727    | 33
       3680     | 29
       9931     | 29
       5494     | 25
       11638    | 24
       5423     | 21
       2765     | 21
       12001    | 18
       12910    | 17
       7937     | 15
       10872    | 15
       5977     | 14
       8087     | 12
       13012    | 11
       4243     | 11
       15294    | 10
       7183     | 9
       11172    | 8
       7465     | 8
       13070    | 7
       11904    | 7
       9051     | 6
       13193    | 6
       5623     | 5
       9749     | 5
       12238    | 4
       6246     | 4
       6701     | 4
       11927    | 3
       14436    | 3

   P2 - Seccion 7 - Demanda de la seccion: 3042

       Producto | Demanda
       2437     | 571
       1698     | 327
       2441     | 250
       13043    | 220
       11039    | 162
       1396     | 150
       2033     | 134
       1021     | 112
       10443    | 99
       901      | 90
       1740     | 80
       1745     | 72
       15406    | 71
       2732     | 58
       5835     | 54
       11017    | 49
       5002     | 45
       13341    | 44
       10045    | 38
       1413     | 35
       4491     | 34
       10794    | 29
       2029     | 26
       3475     | 26
       13149    | 24
       3924     | 22
       15046    | 19
       9782     | 19
       13579    | 17
       4936     | 16
       7283     | 15
       13590    | 13
       6939     | 12
       8341     | 11
       12166    | 11
       1175     | 10
       4678     | 9
       3810     | 8
       11013    | 8
       16045    | 7
       9615     | 7
       11545    | 6
       14372    | 5
       16184    | 5
       10190    | 5
       13591    | 4
       16125    | 4
       4876     | 3
       13409    | 3
       14491    | 3

   P2 - Seccion 8 - Demanda de la seccion: 3044

       Producto | Demanda
       208      | 529
       643      | 336
       3102     | 252
       8730     | 214
       3161     | 182
       27       | 157
       2994     | 124
       659      | 118
       9664     | 95
       5593     | 91
       3353     | 79
       2321     | 73
       3008     | 65
       13188    | 59
       936      | 55
       2897     | 51
       15410    | 48
       7182     | 41
       8973     | 41
       12101    | 38
       2459     | 33
       7538     | 30
       15225    | 29
       3277     | 25
       8748     | 24
       3395     | 23
       5864     | 21
       10835    | 19
       7703     | 17
       13669    | 17
       149      | 15
       4573     | 14
       13309    | 13
       6135     | 12
       5266     | 11
       13005    | 11
       13236    | 9
       16017    | 9
       13701    | 9
       11038    | 7
       7428     | 7
       10397    | 7
       11606    | 6
       13681    | 5
       7055     | 5
       14697    | 4
       9336     | 4
       13831    | 4
       8342     | 3
       9292     | 3

   P2 - Seccion 9 - Demanda de la seccion: 3046

       Producto | Demanda
       2958     | 904
       1160     | 247
       2506     | 213
       2201     | 153
       1536     | 150
       3663     | 131
       1228     | 118
       93       | 97
       2875     | 90
       494      | 84
       1664     | 78
       3357     | 64
       3133     | 58
       869      | 57
       1756     | 50
       4348     | 45
       4074     | 44
       6078     | 40
       4514     | 36
       5381     | 31
       7448     | 29
       7795     | 28
       2777     | 26
       13688    | 23
       16092    | 22
       6439     | 21
       11739    | 18
       5779     | 18
       10412    | 15
       3428     | 15
       1961     | 14
       11061    | 12
       13832    | 12
       10977    | 11
       6379     | 10
       8485     | 9
       3285     | 9
       14061    | 7
       4329     | 7
       3222     | 7
       5655     | 6
       10461    | 6
       15513    | 5
       8307     | 5
       2057     | 4
       7449     | 4
       14432    | 4
       11832    | 3
       1717     | 3
       5308     | 3

   P2 - Seccion 10 - Demanda de la seccion: 3047

       Producto | Demanda
       1393     | 1161
       3537     | 201
       1781     | 173
       11718    | 141
       13017    | 129
       2662     | 118
       5215     | 96
       4317     | 87
       1140     | 80
       3608     | 76
       9646     | 63
       11432    | 61
       852      | 58
       4075     | 50
       6854     | 45
       5427     | 45
       10592    | 40
       3829     | 33
       6968     | 32
       9337     | 30
       8405     | 29
       4838     | 26
       10465    | 23
       13288    | 22
       15619    | 21
       7413     | 19
       5070     | 17
       3401     | 15
       2123     | 15
       7881     | 13
       5688     | 12
       6145     | 12
       7355     | 11
       3484     | 10
       9056     | 9
       5357     | 8
       9940     | 8
       6743     | 7
       7509     | 7
       13918    | 6
       13843    | 5
       5460     | 5
       9332     | 5
       5401     | 4
       7433     | 4
       12464    | 3
       14342    | 3
       13425    | 3
       11408    | 3
       14123    | 3

   P2 - Seccion 11 - Demanda de la seccion: 3042

       Producto | Demanda
       798      | 503
       2065     | 345
       1763     | 292
       3055     | 214
       2820     | 169
       102      | 155
       10579    | 132
       4123     | 110
       14347    | 101
       4093     | 85
       5788     | 79
       866      | 72
       2701     | 68
       3456     | 61
       10511    | 52
       8308     | 52
       1918     | 46
       5921     | 43
       14641    | 38
       2073     | 37
       4787     | 32
       2711     | 31
       11415    | 28
       10604    | 25
       6300     | 23
       1278     | 22
       11937    | 21
       11687    | 19
       5229     | 17
       12159    | 17
       10254    | 14
       3234     | 14
       6215     | 13
       12485    | 12
       14860    | 11
       9661     | 10
       8433     | 9
       5103     | 9
       10519    | 8
       11065    | 7
       6139     | 7
       4356     | 6
       2260     | 5
       13699    | 5
       8833     | 5
       13388    | 4
       15715    | 4
       11288    | 4
       6797     | 3
       5253     | 3

   P2 - Seccion 12 - Demanda de la seccion: 3044

       Producto | Demanda
       1783     | 600
       433      | 321
       1249     | 237
       807      | 187
       6403     | 178
       6082     | 147
       2612     | 133
       4146     | 116
       10862    | 94
       326      | 90
       273      | 85
       2684     | 71
       11093    | 67
       2465     | 58
       9348     | 54
       5493     | 48
       1672     | 47
       14345    | 43
       6088     | 38
       13892    | 35
       5057     | 33
       5106     | 29
       5076     | 28
       15835    | 27
       4865     | 23
       5957     | 23
       9745     | 21
       13344    | 18
       5386     | 18
       10104    | 17
       6683     | 15
       3738     | 14
       11773    | 14
       5166     | 12
       9251     | 11
       6250     | 11
       13629    | 9
       9514     | 9
       12248    | 9
       10945    | 7
       14551    | 7
       1726     | 7
       7666     | 5
       15671    | 5
       14769    | 5
       10391    | 5
       16438    | 4
       11642    | 3
       6305     | 3
       5551     | 3

   P2 - Seccion 13 - Demanda de la seccion: 3044

       Producto | Demanda
       2046     | 625
       2191     | 316
       2815     | 249
       6602     | 199
       3676     | 161
       4267     | 136
       2546     | 125
       1520     | 109
       1421     | 96
       1864     | 91
       7166     | 81
       6526     | 72
       4927     | 65
       4710     | 59
       5865     | 55
       11476    | 49
       2801     | 47
       7505     | 41
       13034    | 39
       11645    | 36
       13613    | 32
       4332     | 30
       11264    | 28
       12565    | 25
       5622     | 24
       12572    | 23
       5554     | 21
       14966    | 18
       5088     | 18
       3515     | 17
       5800     | 15
       2578     | 14
       11617    | 13
       12023    | 13
       12100    | 11
       13406    | 10
       9243     | 10
       16186    | 8
       5579     | 8
       8033     | 8
       15350    | 7
       15066    | 6
       12615    | 6
       9293     | 5
       15660    | 5
       7243     | 5
       13312    | 4
       12428    | 3
       7248     | 3
       12603    | 3

   P2 - Seccion 14 - Demanda de la seccion: 3042

       Producto | Demanda
       384      | 437
       727      | 383
       10551    | 285
       2706     | 229
       4310     | 175
       1165     | 149
       1661     | 132
       738      | 116
       4632     | 100
       7396     | 90
       6581     | 81
       4419     | 72
       13608    | 67
       3331     | 62
       1077     | 54
       1666     | 52
       8478     | 48
       13192    | 43
       2155     | 41
       1118     | 37
       6048     | 34
       12361    | 32
       2333     | 27
       11045    | 25
       992      | 24
       867      | 23
       10641    | 20
       15668    | 20
       8891     | 18
       11255    | 15
       9041     | 15
       4834     | 13
       9974     | 13
       3227     | 11
       11130    | 11
       6313     | 10
       7870     | 9
       10593    | 8
       10024    | 8
       12643    | 7
       3786     | 7
       9768     | 6
       11791    | 6
       9132     | 5
       8453     | 5
       13509    | 4
       9917     | 4
       8085     | 3
       7608     | 3
       6385     | 3

   P2 - Seccion 15 - Demanda de la seccion: 2965

       Producto | Demanda
       790      | 523
       2633     | 339
       189      | 259
       3047     | 205
       3086     | 192
       4556     | 147
       6508     | 137
       311      | 103
       3261     | 93
       971      | 81
       4981     | 75
       4189     | 66
       1708     | 58
       1790     | 58
       5740     | 55
       3785     | 49
       1883     | 42
       2447     | 40
       2294     | 38
       6776     | 33
       9585     | 29
       9066     | 29
       1429     | 27
       13626    | 24
